step,energy,oobf
146,0.000000012628401464851876,0.0009977309217935918
145,0.000000014205539071979828,0.0010028236387726768
144,0.00000001675171576248055,0.0010403981751185235
143,0.00000002267019176519292,0.0010426307720000907
142,0.00000002652698875207383,0.0012160777042694079
141,0.000000010955596478596574,0.0010354510070352486
140,0.000000011946652803306745,0.0010377755864501104
139,0.000000013604065342697111,0.0010489426537085187
138,0.000000016478602622964404,0.001086316664499876
137,0.00000002111765727441624,0.0012279187603064336
136,0.00000004688961761087778,0.0026220657928024936
135,0.000000010998048546068258,0.0010856345052865208
134,0.000000011749030529304205,0.001103057153036611
133,0.000000012189600110684575,0.0011099344810722859
132,0.000000013373447286229418,0.0011223634811885414
131,0.000000014288189887243012,0.0011336517143426547
130,0.00000001567274559565886,0.001135290667152596
129,0.000000016514291936265633,0.0011465628104262073
128,0.000000017575219952008,0.001155258584750765
127,0.00000002007657850983926,0.0011993500750651506
126,0.000000023858243063367894,0.0012623717258597883
125,0.0000000313109516944983,0.0014047780995875563
124,0.000000046667762540773834,0.0017506254280030208
123,0.00000007520163727307435,0.002572342584947999
122,0.000000016024843074647775,0.00122442176991938
121,0.000000017142556812025463,0.0013394584168439736
120,0.00000001738464363339964,0.001271610556480603
119,0.00000001853968981797988,0.0012957455337774713
118,0.000000019464736201180348,0.0013222994094189394
117,0.000000020398899882361157,0.001320876463820696
116,0.00000002188389788503237,0.0013380081012251686
115,0.000000023757347628650056,0.001435972910375599
114,0.000000024685407493137337,0.0013518500730898754
113,0.000000026495245286463243,0.001380205790753703
112,0.000000028786350423090753,0.0013993053789438802
111,0.000000031570579884498095,0.001421174184665884
110,0.00000003459443146036633,0.0014407521505048048
109,0.000000038744552808976845,0.0014671240674631074
108,0.00000004459972972180164,0.0014933525327009613
107,0.000000053298972236564865,0.0015271089111802926
106,0.00000006303292084292584,0.0017637760660483253
105,0.00000003818344980302149,0.0015446370882413903
104,0.000000040546639614729714,0.0015556862677182635
103,0.00000004417156782406944,0.001580216643907793
102,0.000000047807247860756445,0.0016071043727083957
101,0.000000052283190398141484,0.0016421783523606996
100,0.000000056233020340302764,0.0016781293209930273
