x,y
0, 1.3050570962479608
0.14035087719298245, 173.57259380097878
0.2222222222222222, 246.00326264274062
0.36257309941520466, 334.747145187602
0.3742690058479532, 372.59380097879284
0.631578947368421, 378.46655791190864
1.1929824561403508, 378.46655791190864
1.7309941520467835, 373.2463295269168
2.549707602339181, 371.94127243066885
3.485380116959064, 372.59380097879284
4.280701754385965, 373.2463295269168
5.625730994152047, 341.92495921696576
6.87719298245614, 328.2218597063621
7.847953216374268, 319.0864600326264
