Time (s),SE,KE,GPE
1.0100000000000007, 0.000000000000000000000003854823446809772, 48985202.000000015, -49470204.96282577 
2.020000000000001, 0.000000000000000000000027371273677350795, 195940808.0, -196910815.83242422 
3.0299999999999794, 2.0587959930368926, 440866818.0053347, -442321832.60879505 
4.039999999999958, 0.18984201389620964, 783763232.0000589, -785703255.2919385 
5.049999999999937, 3.25847455267058, 1224630050.0008874, -1227055083.8818545 
6.059999999999915, 9.319045264401502, 1763467272.004673, -1766377318.3785431 
7.069999999999894, 50.91169816067292, 2400274898.229318, -2403669958.782004 
8.079999999999872, 31.888540968795585, 3135052928.0025606, -3138933005.0922375 
9.08999999999985, 176381900.15515226, 934547632.2083973, -3433266034.3860116 
10.09999999999983, 15571858.64450216, 487591025.05082333, -3073684147.156736 
11.109999999999808, 723081.6046602399, 227479099.94155493, -2814062167.65987 
12.119999999999786, 557195.8546595376, 65342393.779485635, -2652410594.069777 
13.129999999999765, 464958.6643411131, 1176190.741962587, -2588729426.386457 
14.139999999999743, 434551.32654077775, 34980419.40382305, -2623018664.6099067 
15.149999999999721, 406057.4001388562, 166755083.1205652, -2755278308.74013 
16.159999999999727, 96642.36194997226, 396500127.51414514, -2985508358.7771277 
17.169999999999884, 77990.36541186544, 724209478.2494566, -3313708799.0670295 
18.180000000000042, 126877440.04110381, 214429839.17179248, -3436935369.753765 
19.1900000000002, 6759360.643490625, 57148981.49310837, -3280752717.2932506 
20.200000000000358, 5916100.757811043, 314484.95089991356, -3224403593.501999 
21.210000000000516, 5654082.429582146, 41450743.97163041, -3266024875.61752 
22.220000000000674, 46046869.64600134, 107519066.18070506, -3399100932.501482 
23.23000000000083, 65255847.85733236, 37249216.21576724, -3409320220.1984696 
24.24000000000099, 13139555.049374338, 3872329.900167186, -3347149203.3129086 
25.250000000001148, 16492220.923576042, 10470555.135071624, -3358343137.369159 
26.260000000001305, 61338278.94049006, 2513557.165498322, -3405886196.2576137 
27.270000000001463, 39681768.21853851, 5144518.702077224, -3390527276.908548 
28.28000000000162, 24215160.444806952, 328.99931852822624, -3372403267.0269256 
29.29000000000178, 34847972.37336805, 1908649.7754147074, -3385912399.7856774 
30.300000000001937, 44270866.00937599, 117797.49011090306, -3394445620.1901727 
31.310000000002095, 33634929.792329796, 376669.93542727607, -3384657587.7181435 
