Time (s),SE,KE,GPE
1.0010000000000006, 0.00000000000000000000000609253892428852, 48116088.02000121, -48164156.97740673 
2.0019999999998905, 0.00000000000000000000009237941812727962, 192464352.07999578, -192560491.86775658 
3.0029999999997803, 0.00003423164924679199, 433044792.1799628, -433189004.67103785 
4.003999999999672, 0.00000591810634993035, 769857408.3199698, -770049695.38726 
5.005000000000006, 0.005137801952453504, 1202902200.4999733, -1203142564.0164282 
6.00600000000034, 0.005601559078245069, 1732179168.719982, -1732467610.5585394 
7.007000000000675, 0.244077688702938, 2357688312.980106, -2358024835.013594 
8.008000000001001, 0.2689900147390313, 3079429633.2800355, -3079814237.3815937 
9.009000000000446, 186234084.53884694, 20186704.82891201, -3443802743.9612994 
10.009999999999891, 47396673.244074985, 1380037.8393146752, -3408933652.105125 
11.010999999999337, 31521617.45490098, 105449.11010762428, -3399906123.8999276 
12.011999999998782, 27803159.12999791, 11854.077496962178, -3397208494.971274 
13.012999999998227, 26612064.37831466, 1616.4873450312602, -3396257013.4625754 
14.013999999997672, 26181836.12163453, 201.85374567802052, -3395908703.040671 
15.014999999997118, 26026770.40962141, 14.359097690150593, -3395796330.5651546 
16.01599999999659, 25978991.860280927, 0.7300926707598399, -3395779055.220741 
17.016999999997815, 25973260.371159077, 4.454610618604652, -3395798698.9976263 
18.017999999999038, 25982786.191943374, 6.241139845466519, -3395830696.4649477 
19.01900000000026, 25996486.33630486, 6.0384974480978935, -3395864867.977297 
20.020000000001485, 26009966.16961717, 5.120468024881173, -3395897293.620797 
21.021000000002708, 26021696.71984482, 4.135692657797303, -3395926746.182967 
22.02200000000393, 26031343.835985746, 3.300092657417354, -3395953106.5500474 
23.023000000005155, 26039034.538705677, 2.6472500969479342, -3395976665.1182837 
24.024000000006378, 26045040.85684331, 2.152077274370357, -3395997822.65427 
25.0250000000076, 26049650.289993692, 1.7786328867674337, -3396016970.332085 
26.026000000008825, 26053118.612670537, 1.4952409699360687, -3396034448.5650935 
27.027000000010048, 26055657.775302716, 1.277547845592052, -3396050539.0312557 
28.02800000001127, 26057437.69048615, 1.1078011735025755, -3396065469.4552917 
29.029000000012495, 26058592.60649331, 0.9733223482314132, -3396079422.251376 
30.030000000013718, 26059228.18976701, 0.865098095620204, -3396092543.3742294 
31.03100000001494, 26059427.8632349, 0.7766963832128388, -3396104950.0628 
