x,y
0.003404255319148952, 0.23615635179153038
0.016, 1.0580654378299892
0.032, 1.8851719406004612
0.04799999999999999, 2.4868531142310166
0.05361702127659575, 2.9381107491856673
0.06399999999999999, 3.405277365714735
0.0723404255319149, 3.9071661237785014
0.07999999999999997, 4.537350323789866
0.09599999999999999, 4.9828681241273625
0.112, 5.613811009209612
0.128, 5.880085723693006
0.14400000000000002, 6.000473357200956
0.16000000000000003, 5.924074126311657
0.17600000000000005, 5.6296671352516725
0.19200000000000006, 5.121738108916115
0.20800000000000007, 4.475759063279483
0.2240000000000001, 3.85574741112392
0.2400000000000001, 3.2847636885613687
0.2560000000000001, 2.8508549896053834
0.27200000000000013, 2.523490645841715
0.28800000000000014, 2.230680811890223
0.30400000000000016, 1.938701962541555
0.3200000000000002, 1.7138221553561381
0.3360000000000002, 1.5459594134145789
0.3520000000000002, 1.4362254942921
0.3680000000000002, 1.3083770432496467
0.38400000000000023, 1.185832207279926
0.40000000000000024, 1.0853581729811888
0.44, 0.885993485342019
0.49702127659574463, 0.714983713355049
0.5608510638297871, 0.5895765472312702
0.6399999999999999, 0.4755700325732901
0.7089361702127658, 0.45276872964169446
0.8025531914893617, 0.3729641693811079
