x,y
0.008510638297872353, 0.35016286644951133
0.03744680851063831, 1.3648208469055367
0.060425531914893624, 2.2882736156351786
0.08340425531914893, 3.1547231270358305
0.10893617021276596, 4.317589576547231
0.13191489361702124, 5.195439739413681
0.1574468085106383, 6.096091205211726
0.18638297872340426, 6.65472312703583
0.21276595744680848, 6.745928338762214
0.24340425531914894, 5.959283387622149
0.26468085106382977, 5.298045602605862
0.28765957446808516, 4.602605863192181
0.31063829787234043, 4.14657980456026
0.33617021276595743, 3.7817589576547226
0.3727659574468085, 3.405537459283387
0.4042553191489362, 2.8241042345276863
0.4340425531914894, 2.5162866449511396
0.5029787234042553, 2.1628664495114007
0.5676595744680849, 1.8436482084690553
0.629787234042553, 1.6270358306188921
