x,d
0.025001295907220354, 0.015585575325708256 
0.07500388772173913, 0.014934433549635084 
0.12500653371823767, 0.014048784379049883 
0.17500923335986246, 0.012971609258953465 
0.22501211841360524, 0.011415453929782604 
0.2750151879114533, 0.01003392811343995 
0.32501828534258453, 0.008542305036467135 
0.37502141012338586, 0.007185916281702731 
0.4250245565020261, 0.005980087546445412 
0.4750277240552563, 0.005108702156826239 
0.5250307982977305, 0.004197407279690091 
0.5750337789704768, 0.003078373287171421 
0.6250366274716426, 0.0023827847603090646 
0.6750393435925207, 0.00160528112496372 
0.7250419354670403, 0.00039756313660987974 
0.7750444029604026, 0.0 
0.8250467789721082, 0.0 
0.8750490623437496, 0.0 
0.9250513599331466, 0.0 
0.9750536698209634, 0.0 
1.025055929356457, 0.0 
1.0750581366845402, 0.0 
1.1250603204687155, 0.0 
1.1750624787087198, 0.0 
1.225064486375129, 0.0 
1.2750663421150799, 0.0 
1.3250680505031889, 0.0 
1.3750696099921655, 0.0 
1.4250709576682457, 0.0 
1.4750720923657448, 0.0 
1.525073005022656, 0.0 
1.575073694480662, 0.0 
1.625074261569272, 0.0 
1.6750747043740133, 0.0 
1.725075052399293, 0.0 
1.7750753045506198, 0.0 
1.8250756296614843, 0.0 
1.87507602184524, 0.0 
1.9250763174461132, 0.0 
1.9750765260125667, 0.0 
2.0250770724915497, 0.008540619639026192 
2.0750778886514114, 0.028077606768471264 
2.1250775223948715, 0.058912051732187276 
2.1750759807610835, 0.12532697272509918 
2.2250775817752686, 0.26841956009767276 
2.2750812373890503, 0.468987714934061 
2.3250721753811026, 0.9617289015401466 
2.3750475737744243, 0.9951252027435895 
2.427476122924121, 1.0 
2.4801686562769327, 1.0 
2.5353980054295775, 0.9950898193640405 
2.585294518899713, 0.9781377982750997 
2.635285398904732, 0.9302987725256471 
2.685273898191309, 0.7463139626025248 
2.735274153325163, 0.44601385406040595 
2.7852742205526395, 0.2449202928267975 
2.835273145073854, 0.11411560986403335 
2.885270664960473, 0.051453965809780455 
2.935268751899052, 0.014046724984724923 
2.9852669663923757, 0.0037454153878474505 
3.035264804132446, 0.0 
3.0852624278048233, 0.0 
3.135259828468606, 0.0 
3.185257121007911, 0.0 
3.2352542487955294, 0.0 
3.2852512861913206, 0.0 
3.3352480082365625, 0.0 
3.385244578481548, 0.0 
3.4352411110206953, 0.0 
3.485237626834125, 0.0 
3.5352342364146074, 0.0 
3.5852308999360156, 0.0 
3.6352278794960453, 0.0 
3.68522501964218, 0.0 
3.7352225044133127, 0.00016277428378341785 
3.785220161719618, 0.00040958409965363707 
3.8352180800639246, 0.00015284159965334165 
3.885216133321025, 0.0 
3.935214563298715, 0.0 
3.985213176271571, 0.0 
4.035211949754269, 0.0 
4.085210820092125, 0.0 
4.135210357871226, 0.0 
4.185210218486248, 0.0 
4.235210246657863, 0.0 
4.28521036447654, 0.0 
4.33521079454449, 0.0 
4.385211370928826, 0.0 
4.435211899342866, 0.0 
4.485212397371841, 0.0 
4.535212705702909, 0.0 
4.585212918520195, 0.0007669802115858326 
4.635213005320339, 0.0028306596236081782 
4.685213022420771, 0.004666683833675522 
4.735212608635392, 0.0061171882990718185 
4.7852119939812505, 0.006702223032384547 
4.835211630822821, 0.006025142315666865 
4.885211330341923, 0.004966782439865813 
4.935208794859392, 0.005547463354555693 
4.985208230719625, 0.005578121135948022 
