Time (s),Terminus position
0.0, 495.0 
1.0000000000000007, 498.46665142428725 
2.0000000000000013, 505.8018861438699 
2.99999999999998, 515.7376083302839 
3.9999999999999587, 527.6686008674011 
4.999999999999938, 540.5313918244055 
5.9999999999999165, 553.6795477729364 
6.999999999999895, 566.63911239053 
7.999999999999874, 579.2060922219304 
8.999999999999853, 591.4646469357918 
9.999999999999831, 603.4782617866838 
10.99999999999981, 615.1647163803239 
11.999999999999789, 626.3278483075702 
12.999999999999767, 637.0463693510134 
13.999999999999746, 647.4630515983175 
14.999999999999725, 657.5681439986341 
15.999999999999703, 667.4056315701462 
16.999999999999858, 676.9459507514233 
18.000000000000014, 686.0156769599688 
19.00000000000017, 694.6468818472399 
20.000000000000327, 702.8145485309285 
21.000000000000483, 710.0441198377473 
22.00000000000064, 716.2725909438386 
23.000000000000796, 725.0716239222447 
