disp,nload,load
0.00008252670010447806,0.0,300570.55143331015
0.0002894407281686934,0.0,199363.842291189
0.00048419621059100665,0.0,274455.01464598015
0.0006696952992817552,0.0,511015.1044164676
0.000865693573542714,0.0,573083.456161054
0.0010573555035421963,0.0,709072.9369909404
0.0012543072807524006,0.0,754642.6824402052
0.0014384677616609393,0.0,1008327.0212652126
0.001637662966830162,0.0,1024915.9255290185
0.0018304533024656635,0.0,1135629.5312433774
0.0020174653150059796,0.0,1345539.2825778734
0.0022145873294756816,0.0,1392388.8070793354
0.0024068985520436215,0.0,1514355.1063187527
0.0025979924478642825,0.0,1656546.7020900897
0.0027907243465284865,0.0,1773750.82179757
0.0029845491838845525,0.0,1872344.5127106064
0.0031765839162935443,0.0,1998941.9151716277
0.003368012958688172,0.0,2136768.4931304827
0.003562008614342864,0.0,2233353.816606923
0.0037547991152486197,0.0,2347642.9468526538
0.003945537703514513,0.0,2496148.7396851056
0.004139809170517354,0.0,2588611.4188564387
0.004332221870037092,0.0,2708876.5473201796
0.004523951832052751,0.0,2841772.6054574237
0.004717271917026767,0.0,2948600.2575008576
0.004909507538520226,0.0,3072854.303306835
0.005102514836548037,0.0,3184555.257599388
0.005294300535540196,0.0,3316050.7242364064
0.005487696805983411,0.0,3422146.043516238
0.005680143841346906,0.0,3542204.6118048346
0.00587210472946419,0.0,3671436.3429503413
0.006065552042959827,0.0,3776134.9770101793
0.0062576042167738835,0.0,3903119.0533147478
0.00645039719080968,0.0,4018638.211881725
0.00664284147620921,0.0,4139401.2074331734
0.006835587618671873,0.0,4255638.429322701
0.007028266887215911,0.0,4372552.506193175
0.007220786251360955,0.0,4492561.714675554
0.007414339184032037,0.0,4595728.799551648
0.007607708442450999,0.0,4701910.288977535
0.007801923039711658,0.0,4794775.846137928
0.007996709594449012,0.0,4878238.949412789
0.008191975543825577,0.0,4954269.85130161
0.008388116564212626,0.0,5016198.626831083
0.008585113871481862,0.0,5064598.543330403
0.008783476388529448,0.0,5091145.184366047
0.00898319987582409,0.0,5095986.301490448
0.009184643254847491,0.0,5073322.24329848
0.00938705937936484,0.0,5034853.131886509
0.00959015389876596,0.0,4985557.974278432
0.009793837399118169,0.0,4926806.47212008
0.009998103693816037,0.0,4858800.344335362
0.010203346360118978,0.0,4775381.473250881
0.010410389200063947,0.0,4663304.215267716
0.010619506134788022,0.0,4517948.458644605
0.01082947337450227,0.0,4358520.183839845
0.01103942961374574,0.0,4199260.3587143645
0.01124948838920045,0.0,4038276.6506250044
0.011459585866699156,0.0,3876884.230789401
0.011670449005438607,0.0,3703241.225920414
0.01188121306078141,0.0,3530827.1445246655
0.0120912881712322,0.0,3369447.6239833846
0.01230118518572387,0.0,3211158.7898007934
0.012511258253227193,0.0,3049946.5533806947
0.012720807321353144,0.0,2896906.527049299
0.012929620298579794,0.0,2755750.2835675366
0.013138115236724281,0.0,2619771.354619338
0.013346326955163235,0.0,2488265.832659339
0.013553935021669477,0.0,2366336.033811024
0.013760984417604613,0.0,2253447.409865603
0.01396778110399229,0.0,2144617.727511187
0.01417412402520951,0.0,2042946.9792483663
0.01437993934219687,0.0,1949769.415955066
0.01458548778249985,0.0,1860929.10173197
0.014790819923690853,0.0,1775527.4385977562
0.014995796380785405,0.0,1695787.4844329315
0.015200403987679573,0.0,1621992.6428546375
0.01540480364364593,0.0,1551562.760000708
0.01560900042472303,0.0,1484338.9794537723
0.015812877533653444,0.0,1422204.87091031
0.01601651220332402,0.0,1363984.145821703
0.016220005945673445,0.0,1308035.083984294
0.016423336409504937,0.0,1254682.0538669152
0.016626470110317343,0.0,1204499.6378279838
0.016829458314187674,0.0,1156659.656347602
0.01703230550677533,0.0,1111068.8311136155
0.017234985386874745,0.0,1068138.2122909832
0.017437509894389712,0.0,1027700.0094815952
0.017639931408205557,0.0,988915.3933680331
0.017842245514242114,0.0,951860.9774050531
0.018044462917451532,0.0,916355.1128464346
0.018246571626229547,0.0,882589.0267601721
0.01844857162946384,0.0,850557.9656545637
0.018650476131276135,0.0,820054.942621629
0.018852308142376793,0.0,790723.2280686274
0.019054068379616936,0.0,762539.39339798
0.019255740899702768,0.0,735758.3923531871
0.019457330869949746,0.0,710289.4385459245
0.019658849935169833,0.0,685956.3090488135
0.019860313237057288,0.0,662525.7460451893
0.020061735287602186,0.0,639768.1317197165
