Time (s),Terminus position
0.0, 487.5 
1.0000000000000007, 488.0379644321572 
2.0000000000000013, 489.4890828814028 
2.99999999999998, 491.2866564142069 
3.9999999999999587, 493.1538438980717 
4.999999999999938, 495.0233855209804 
5.9999999999999165, 496.8866459155621 
6.999999999999895, 498.7437552983544 
7.999999999999874, 500.5950862455708 
8.999999999999853, 502.4407326371907 
9.999999999999831, 504.28072786831456 
10.99999999999981, 506.1151298467154 
11.999999999999789, 507.94402726821875 
12.999999999999767, 509.7675300310642 
13.999999999999746, 511.585762484646 
14.999999999999725, 513.3988615677625 
15.999999999999703, 515.206908996515 
16.999999999999858, 517.0103088014438 
18.000000000000014, 518.8093751266568 
19.00000000000017, 520.6043978279281 
20.000000000000327, 522.3956523823495 
21.000000000000483, 524.1834196065807 
22.00000000000064, 525.9680150671114 
23.000000000000796, 527.7497215071622 
24.000000000000952, 529.5288278756811 
25.00000000000111, 531.3056605952356 
26.000000000001265, 533.0805508744166 
27.00000000000142, 534.8538425068817 
28.000000000001577, 536.6271285045746 
29.000000000001734, 538.3955939724212 
30.00000000000189, 540.1576045356295 
31.000000000002046, 541.9246130450471 
32.0000000000022, 543.6935741815854 
33.000000000002004, 545.4622633525893 
34.000000000001805, 547.2296500232853 
35.000000000001606, 548.9952011936285 
36.00000000000141, 550.7586216202736 
37.00000000000121, 552.5197114102734 
38.00000000000101, 554.2783431850276 
39.00000000000081, 556.0344430704487 
40.00000000000061, 557.7879671259265 
41.00000000000041, 559.53889637483 
42.00000000000021, 561.2872319043405 
43.000000000000014, 563.0329671565681 
43.999999999999815, 564.7761255483125 
44.999999999999616, 566.5166806433402 
45.99999999999942, 568.2547555826075 
46.99999999999922, 569.9906491643032 
47.99999999999902, 571.7244987432191 
48.99999999999882, 573.456476005979 
49.99999999999862, 575.1867784932301 
50.99999999999842, 576.9156082532573 
51.999999999998224, 578.643153422355 
52.999999999998025, 580.3696461640629 
53.999999999997826, 582.0953190227237 
54.99999999999763, 583.8204178941659 
55.99999999999743, 585.5481234314312 
56.99999999999723, 587.2799738940128 
57.99999999999703, 588.9956596391359 
58.99999999999683, 590.7155040065418 
59.99999999999663, 592.438802866307 
60.99999999999643, 594.1638987986458 
61.999999999996234, 595.8891679397962 
62.999999999996035, 597.6137102392552 
63.999999999995836, 599.336978205046 
64.99999999999635, 601.0587305704427 
65.99999999999686, 602.7788625928807 
66.99999999999737, 604.4972838489565 
67.99999999999788, 606.2139200388098 
68.9999999999984, 607.9287126957089 
69.9999999999989, 609.6416192635919 
70.99999999999942, 611.3526194639821 
71.99999999999993, 613.0617079657064 
73.00000000000044, 614.7688884957146 
74.00000000000095, 616.4741925063529 
75.00000000000146, 618.1776575150607 
76.00000000000198, 619.8791795806228 
77.00000000000249, 621.5791111658212 
78.000000000003, 623.2776369593315 
79.00000000000351, 624.9748746050466 
80.00000000000402, 626.6709814545179 
81.00000000000453, 628.366132140531 
82.00000000000504, 630.0605145274769 
83.00000000000556, 631.7543239730305 
84.00000000000607, 633.4478174948572 
85.00000000000658, 635.1521973726882 
86.00000000000709, 636.8521701988132 
87.0000000000076, 638.5385581777015 
88.00000000000811, 640.2260103316263 
89.00000000000863, 641.9165278639789 
90.00000000000914, 643.6090364672112 
91.00000000000965, 645.3023456256516 
92.00000000001016, 646.9954519253115 
93.00000000001067, 648.6876662471301 
94.00000000001118, 650.3785564400401 
95.0000000000117, 652.0680389607069 
96.00000000001221, 653.7559790696081 
97.00000000001272, 655.4422738957336 
98.00000000001323, 657.1269084014733 
99.00000000001374, 658.8098570980234 
100.00000000001425, 660.4910792077388 
