disp,load
0.0021936363700599953, 18.744656345611702
0.00941578400683988, 49.71912692636528
0.018824148724942237, 85.84329048988502
0.027795835305922015, 121.9731068448238
0.035226782925743515, 135.46914635783588
0.03936709934074321, 120.52881863725332
0.04088664033407998, 104.32791843021982
0.0426259335938328, 90.71317029740749
0.047861478346275875, 82.23115677310403
0.052439886096252906, 69.87415473103317
0.058325148562424496, 51.674992757361
0.06333952785059671, 38.0178486889057
0.06639203521689055, 30.211343739180165
0.06704917221935658, 34.08633225694763
0.0694466623799665, 26.288306494350707
0.08014174374483299, 19.677366929757
0.08974689626421148, 16.31678243112424
0.1013171004006416, 12.930760371105805
0.11114094528804505, 10.214594094246138
