disp,load
0.0002691790040376882, 2.6162790697674723
0.016689098250336473, 82.41279069767444
0.03095558546433378, 155.6686046511628
0.045222072678331095, 228.92441860465118
0.05814266487213999, 292.3691860465117
0.07160161507402424, 353.8517441860466
0.08344549125168238, 391.13372093023264
0.0942126514131898, 404.8691860465117
0.10524899057873488, 396.36627906976753
0.11278600269179007, 368.24127906976753
0.11763122476446841, 339.4622093023256
0.12193808882907137, 312.6453488372093
0.12947510094212655, 270.1308139534884
0.1356662180349933, 242.0058139534884
0.14481830417227462, 206.03197674418612
0.15531628532974434, 172.02034883720938
0.16904441453566627, 140.62500000000006
0.1808882907133244, 119.6947674418605
0.1973082099596232, 98.76453488372096
0.20538358008075375, 91.56976744186045
